tournament,match_id,match_date,stage,referee,team,opponent,box_touches,box_entries,fouls_won_final3,def_box_contests,pens_for,pens_against,shots,xg,passes,fouls_won,fouls_committed,yellows,reds,duels,touches_final3,fouls_won_dzone,fk_shots,fk_xg,pen_xg
WC2018,8650,2018-07-06,Quarter-finals,Milorad Mažić,Brazil,Belgium,100,36,1,12,0,0,25,2.6091956661999998,532,17,20,2,0,22,640,1,0,0.0,0.0
WC2018,8650,2018-07-06,Quarter-finals,Milorad Mažić,Belgium,Brazil,24,11,5,45,0,0,8,0.40525613299999996,385,20,18,2,0,22,222,2,1,0.013607446,0.0
WC2018,7584,2018-07-02,Round of 16,Malang Diedhiou,Japan,Belgium,34,12,1,40,0,0,12,0.6937694522000001,457,12,11,1,0,20,265,0,1,0.006078651,0.0
WC2018,7584,2018-07-02,Round of 16,Malang Diedhiou,Belgium,Japan,110,38,1,16,0,0,28,2.917831719499999,618,10,13,0,0,14,535,0,0,0.0,0.0
WC2018,7554,2018-06-24,Group Stage,Ghead Grisha,England,Panama,29,13,5,14,2,0,9,1.601321031,607,12,14,1,0,16,273,0,0,0.0,1.567
WC2018,7554,2018-06-24,Group Stage,Ghead Grisha,Panama,England,23,10,1,10,0,2,8,1.0800387518,406,14,13,3,0,23,300,0,0,0.0,0.0
WC2018,7539,2018-06-19,Group Stage,Nawaf Abdulla Ghayyath Shukralla,Poland,Senegal,36,13,2,15,0,0,10,1.042323384,585,16,7,1,0,17,316,0,1,0.07070428,0.0
WC2018,7539,2018-06-19,Group Stage,Nawaf Abdulla Ghayyath Shukralla,Senegal,Poland,26,10,2,21,0,0,7,1.4277506340000001,382,7,17,1,0,21,299,0,1,0.009712145,0.0
WC2018,7550,2018-06-22,Group Stage,Felix Brych,Switzerland,Serbia,35,13,2,13,0,0,19,1.5573086895,554,20,13,1,0,28,344,0,1,0.05241076,0.0
WC2018,7550,2018-06-22,Group Stage,Felix Brych,Serbia,Switzerland,62,23,2,20,0,0,12,1.153485278,347,13,20,4,0,32,309,2,0,0.0,0.0
WC2018,7538,2018-06-18,Group Stage,Joel Antonio Aguilar Chicas,Sweden,South Korea,33,12,3,23,1,0,15,1.2316244560000003,477,22,19,1,0,28,354,2,0,0.0,0.7835
WC2018,7538,2018-06-18,Group Stage,Joel Antonio Aguilar Chicas,South Korea,Sweden,19,9,2,33,0,1,5,0.414372021,382,19,22,2,0,26,313,0,0,0.0,0.0
WC2018,7534,2018-06-17,Group Stage,Alireza Faghani,Germany,Mexico,103,29,4,8,0,0,26,2.2992588492,619,13,13,2,0,22,892,1,1,0.06350054,0.0
WC2018,7534,2018-06-17,Group Stage,Alireza Faghani,Mexico,Germany,33,10,1,43,0,0,12,0.9932887670000001,324,11,15,2,0,26,266,1,1,0.08506853,0.0
WC2018,7543,2018-06-20,Group Stage,Andrés Cunha,Spain,Iran,75,22,7,12,0,0,18,2.1969543835000005,816,14,15,0,0,12,960,3,3,0.131495881,0.0
WC2018,7543,2018-06-20,Group Stage,Andrés Cunha,Iran,Spain,14,7,3,31,0,0,6,0.426459236,262,15,14,2,0,19,134,1,0,0.0,0.0
WC2018,7544,2018-06-20,Group Stage,Clément Turpin,Uruguay,Saudi Arabia,44,18,4,12,0,0,14,1.8073869310000001,511,12,13,0,0,17,301,2,1,0.023920795,0.0
WC2018,7544,2018-06-20,Group Stage,Clément Turpin,Saudi Arabia,Uruguay,20,9,2,13,0,0,8,0.2734858323,584,11,12,0,0,19,461,1,1,0.05547695,0.0
WC2018,7546,2018-06-21,Group Stage,Mohamed Abdulla Hassan Mohd,Peru,France,25,12,1,19,0,0,12,0.625221235,548,9,14,2,0,29,404,0,1,0.02880108,0.0
WC2018,7546,2018-06-21,Group Stage,Mohamed Abdulla Hassan Mohd,France,Peru,51,15,3,15,0,0,12,1.862419556,435,14,11,2,0,30,364,2,0,0.0,0.0
WC2018,7545,2018-06-21,Group Stage,Ravshan Irmatov,Croatia,Argentina,33,9,3,17,0,0,14,1.8317100519999998,382,19,23,4,0,18,192,1,1,0.039510775,0.0
WC2018,7545,2018-06-21,Group Stage,Ravshan Irmatov,Argentina,Croatia,36,10,2,11,0,0,10,1.2180579430000003,535,22,20,4,0,30,363,0,0,0.0,0.0
WC2018,7585,2018-07-03,Round of 16,Mark Geiger,England,Colombia,42,17,8,17,1,0,16,1.460789848,605,22,13,2,0,31,378,1,2,0.099117905,0.7835
WC2018,7585,2018-07-03,Round of 16,Mark Geiger,Colombia,England,28,14,0,33,0,1,14,0.8311502155,556,13,23,6,0,31,287,0,0,0.0,0.0
WC2018,7569,2018-06-28,Group Stage,Nawaf Abdulla Ghayyath Shukralla,Tunisia,Panama,50,18,5,6,0,0,15,2.8524550040000003,648,18,20,3,0,22,401,0,0,0.0,0.0
WC2018,7569,2018-06-28,Group Stage,Nawaf Abdulla Ghayyath Shukralla,Panama,Tunisia,26,7,2,28,0,0,9,0.6907955865000001,291,19,20,1,0,29,152,1,1,0.052178748,0.0
WC2018,7572,2018-06-28,Group Stage,Janny Sikazwe,Poland,Japan,23,9,3,15,0,0,11,1.040714051,499,12,9,0,0,24,289,0,0,0.0,0.0
WC2018,7572,2018-06-28,Group Stage,Janny Sikazwe,Japan,Poland,33,12,1,20,0,0,11,0.8906295785,587,9,12,1,0,18,256,0,0,0.0,0.0
WC2018,7561,2018-06-26,Group Stage,Antonio Miguel Mateu Lahoz,Iceland,Croatia,42,16,3,13,1,0,16,1.3491869014999998,331,11,14,3,0,24,258,1,1,0.007674473,0.7835
WC2018,7561,2018-06-26,Group Stage,Antonio Miguel Mateu Lahoz,Croatia,Iceland,18,7,4,25,0,1,13,0.673928797,535,13,13,1,0,30,416,1,2,0.047762932999999994,0.0
